borough,cd,schooldist,zipcode,address,bldgclass,landuse,numfloors,bldgdepth,yearbuilt,landmark,latitude,longitude
MN,112.0,6.0,10034.0,403 WEST 205 STREET,C,2.0,5.0,88.0,1940.0,,40.8627988,-73.9183923
MN,112.0,6.0,10034.0,414 WEST 206 STREET,G,10.0,,0.0,0.0,,40.8630787,-73.9182943
MN,112.0,6.0,10034.0,3859 9 AVENUE,E,6.0,1.0,100.0,1964.0,,40.8629703,-73.9164506
MN,112.0,6.0,10034.0,5140 BROADWAY,G,10.0,,0.0,0.0,,40.8723978,-73.9120384
MN,112.0,6.0,10034.0,4168 9 AVENUE,G,10.0,1.0,70.0,1957.0,,40.8724168,-73.9116804
MN,112.0,6.0,10034.0,5122 BROADWAY,Z,,,0.0,0.0,,40.8717891,-73.9128021
MN,112.0,6.0,10034.0,401 WEST 205 STREET,M,8.0,2.0,100.0,1960.0,,40.8626971,-73.9181538
MN,112.0,6.0,10034.0,411 WEST 204 STREET,W,8.0,3.0,80.0,1955.0,,40.8623108,-73.9191701
MN,112.0,6.0,10034.0,3814 9 AVENUE,G,10.0,,0.0,0.0,,40.8615723,-73.9189758
MN,112.0,6.0,10034.0,416 WEST 204 STREET,V,11.0,,0.0,0.0,,40.8618607,-73.9192791
MN,112.0,6.0,10034.0,9 AVENUE,G,10.0,,0.0,0.0,,40.8612754,-73.918264
