zipcode,address,bldgclass,numfloors,bldgdepth,yearbuilt,latitude,longitude
10022.0,EAST 57 STREET,Commercial,,0.0,0.0,40.7570199,-73.9598691
10022.0, RIVERVIEW TERRACE,Commercial,,0.0,0.0,40.7579995,-73.9591827
10009.0,280 EAST HOUSTON STREET,Commercial,,0.0,0.0,40.7219506,-73.984516
10027.0,351 WEST 125 STREET,High Rise,6.0,96.0,1926.0,40.8111296,-73.9527344
10027.0,381 WEST 125 STREET,Residential,4.0,58.0,1901.0,40.8114648,-73.9536192
10027.0,361 WEST 125 STREET,Commercial,4.0,98.0,1900.0,40.8112313,-73.9529764
10065.0,EAST 59 STREET,Commercial,,0.0,0.0,40.7582985,-73.9587602
10065.0,EAST 59 STREET,Commercial,,0.0,0.0,40.7582354,-73.9588252
10022.0, RIVERVIEW TERRACE,Commercial,,0.0,0.0,40.7579611,-73.9592188
10022.0, RIVERVIEW TERRACE,Commercial,,0.0,0.0,40.7579227,-73.959255
10022.0,EAST 57 STREET,Commercial,,0.0,0.0,40.7574233,-73.9598653
10028.0, HENDERSON PLACE,Commercial,,0.0,0.0,40.7753239,-73.9449899
10009.0, EAST HOUSTON STREET,Commercial,,0.0,0.0,40.7212642,-73.9825103
10027.0,365 WEST 125 STREET,Commercial,2.0,200.0,1959.0,40.8114564,-73.9531243
10027.0,379 WEST 125 STREET,Residential,4.0,58.0,1905.0,40.8114373,-73.9535542
10027.0,377 WEST 125 STREET,Residential,4.0,58.0,1901.0,40.8114099,-73.9534892
10027.0,383 WEST 125 STREET,Residential,4.0,75.0,1905.0,40.8114923,-73.9536878
10027.0,11 HANCOCK PLACE,Residential,12.0,172.0,2018.0,40.8107429,-73.9534716
10025.0, CATHEDRAL PARKWAY,Commercial,,0.0,0.0,40.8021219,-73.961377
10025.0, AMSTERDAM AVENUE,Commercial,,0.0,0.0,40.8041504,-73.9619394
10003.0,14 SECOND AVENUE,Residential,10.0,74.0,2021.0,40.7238968,-73.9906838
